Timestamp,ES_Trade Close,ES_Trade Volume,HI_Trade Close,HI_Trade Volume,NQ_Trade Close,NQ_Trade Volume,VIX_Trade Close,VIX_Trade Volume
02/11/2020 07:05,3269.25,7645,#N/A,#N/A,11058.25,2306,34.25,129
02/11/2020 07:10,3264.75,1698,#N/A,#N/A,11043,769,34.55,93
02/11/2020 07:15,3262.5,1199,#N/A,#N/A,11035,318,34.55,25
02/11/2020 07:20,3263.5,2147,#N/A,#N/A,11042.25,548,34.7,59
02/11/2020 07:25,3265,946,#N/A,#N/A,11052.75,414,34.65,16
02/11/2020 07:30,3262.75,552,#N/A,#N/A,11046.75,150,34.7,3
02/11/2020 07:35,3258.75,2039,#N/A,#N/A,11033,432,34.8,15
02/11/2020 07:40,3253.75,4194,#N/A,#N/A,11013.25,1041,34.9,21
02/11/2020 07:45,3249.25,2947,#N/A,#N/A,10999.75,982,35,15
02/11/2020 07:50,3250.5,2903,#N/A,#N/A,11004,1001,35.05,27
02/11/2020 07:55,3251.5,1484,#N/A,#N/A,10998,606,35.1,36
02/11/2020 08:00,3252.5,1001,#N/A,#N/A,10999.5,463,34.95,33
02/11/2020 08:05,3255,1885,#N/A,#N/A,11016.75,779,34.75,68
02/11/2020 08:10,3254,2391,#N/A,#N/A,11009.25,839,34.85,44
02/11/2020 08:15,3247,2339,#N/A,#N/A,10991,822,34.95,31
02/11/2020 08:20,3251.25,1350,#N/A,#N/A,11004.5,381,34.8,14
02/11/2020 08:25,3249.75,4227,#N/A,#N/A,11004.5,1051,34.8,69
02/11/2020 08:30,3251.75,1894,#N/A,#N/A,11006.5,805,34.65,82
02/11/2020 08:35,3251.75,1815,#N/A,#N/A,11006,647,34.7,56
02/11/2020 08:40,3250.75,2372,#N/A,#N/A,11001.75,880,34.65,13
02/11/2020 08:45,3250.25,807,#N/A,#N/A,10997.5,597,34.65,4
02/11/2020 08:50,3251.5,1056,#N/A,#N/A,11002,1072,34.65,9
02/11/2020 08:55,3251.75,1016,#N/A,#N/A,11000.5,828,34.62,6
02/11/2020 09:00,3252.25,683,#N/A,#N/A,11004.75,373,#N/A,#N/A
02/11/2020 09:05,3250.5,1956,#N/A,#N/A,10999.25,1250,34.6,10
02/11/2020 09:10,3257,2916,#N/A,#N/A,11009.75,1479,34.35,117
02/11/2020 09:15,3264.25,4163,#N/A,#N/A,11037.25,1539,34.25,89
02/11/2020 09:20,3262.75,2845,24215,2451,11033.25,1007,34.3,27
02/11/2020 09:25,3264,2295,24219,1165,11040.75,1005,34.25,15
02/11/2020 09:30,3262,1273,24203,1102,11035,571,34.4,18
02/11/2020 09:35,3262.75,1346,24233,4795,11038.5,529,34.35,34
02/11/2020 09:40,3269.5,2480,24246,3597,11065,1083,34.15,21
