DATE,BAMLH0A0HYM2EY,HY_rtn_10,HY_rtn_10_pos
1996-12-31,9.55,,
1997-01-02,9.57,,
1997-01-03,9.58,,
1997-01-06,9.61,,
1997-01-07,9.63,,
1997-01-08,9.63,,
1997-01-09,9.6,,
1997-01-10,9.64,,
1997-01-13,9.64,,
1997-01-14,9.59,0.0010471204188482464,-0.008298755186721962
1997-01-15,9.56,0.0,-0.008298755186721962
1997-01-16,9.56,0.0,-0.008298755186721962
1997-01-17,9.56,-0.0010460251046024993,-0.009336099585062207
1997-01-20,9.55,-0.0020942408376964927,-0.011410788381742809
1997-01-21,9.53,-0.0010493179433368471,-0.012448132780083054
1997-01-22,9.52,0.0010504201680672232,-0.011410788381742809
1997-01-23,9.53,0.0010504201680672232,-0.011410788381742809
1997-01-24,9.53,0.0021008403361344463,-0.010373443983402675
1997-01-27,9.54,0.0,-0.007299270072992692
1997-01-28,9.52,-0.0031512605042015585,-0.007322175732217606
1997-01-29,9.49,0.0,-0.007322175732217606
1997-01-30,9.49,0.0,-0.007322175732217606
1997-01-31,9.49,-0.004214963119072768,-0.010471204188481797
1997-02-03,9.45,-0.0010582010582009804,-0.010482180293501009
1997-02-04,9.44,-0.0010593220338982468,-0.011530398322851076
1997-02-05,9.43,-0.0010604453870625141,-0.012578616352201144
1997-02-06,9.42,-0.0031847133757960666,-0.015723270440251458
1997-02-07,9.39,-0.0021299254526092604,-0.017819706498951815
1997-02-10,9.37,-0.0010672358591248265,-0.01680672268907568
1997-02-11,9.36,-0.0010683760683760646,-0.01475237091675452
1997-02-12,9.35,-0.004278074866310044,-0.018967334035827177
1997-02-13,9.31,-0.004296455424275036,-0.023182297154899945
1997-02-14,9.27,0.0,-0.01904761904761898
1997-02-18,9.27,-0.0010787486515642097,-0.01906779661016944
1997-02-19,9.26,-0.001079913606911398,-0.019088016967126142
1997-02-20,9.25,-0.00216216216216214,-0.02016985138004246
1997-02-21,9.23,-0.0010834236186348933,-0.018104366347177825
1997-02-24,9.22,-0.0010845986984815426,-0.01707577374599767
1997-02-25,9.21,0.0032573289902280145,-0.012820512820512775
1997-02-26,9.24,0.006514657980455807,-0.00855614973262031
1997-02-27,9.27,0.01411509229098784,0.0032223415682062218
1997-02-28,9.34,0.011943539630836053,-0.0021413276231262435
1997-03-03,9.32,0.010857763300760048,-0.0032119914346894207
1997-03-04,9.31,0.011943539630836053,-0.0021413276231262435
1997-03-05,9.32,0.013029315960912058,-0.0010706638115631772
1997-03-06,9.33,0.010857763300760048,-0.0032119914346894207
1997-03-07,9.31,0.010857763300760048,-0.0032119914346894207
1997-03-10,9.31,0.009771986970684043,-0.004282655246252598
1997-03-11,9.3,0.007575757575757569,-0.0032119914346894207
1997-03-12,9.31,0.008629989212513456,0.0010706638115631772
1997-03-13,9.35,0.006451612903225712,0.0010695187165774556
1997-03-14,9.36,0.007526881720429923,0.0010683760683760646
1997-03-17,9.37,0.008602150537634357,0.0010672358591250486
1997-03-18,9.38,0.011827956989247213,0.0031982942430703876
1997-03-19,9.41,0.013978494623655857,0.002125398512220933
1997-03-20,9.43,0.015053763440860068,0.0010604453870626251
1997-03-21,9.44,0.015053763440860068,0.0
1997-03-24,9.44,0.01612903225806428,0.0010593220338983578
1997-03-25,9.45,0.021482277121374738,0.006349206349206327
1997-03-26,9.51,0.024598930481283476,0.007360672975814886
1997-03-27,9.58,0.044871794871794934,0.020876826722338038
1997-03-31,9.78,0.04589114194236932,0.002044989775051187
1997-04-01,9.8,0.04690831556503183,0.0020408163265306367
1997-04-02,9.82,0.04463336875664181,0.0010183299389001643
1997-04-03,9.83,0.04559915164369022,0.003051881993896277
1997-04-04,9.86,0.0402542372881356,-0.0040567951318457585
1997-04-07,9.82,0.04237288135593231,-0.0020283975659228792
1997-04-08,9.84,0.040211640211640365,-0.0030425963488842633
1997-04-09,9.83,0.03364879074658256,-0.0030425963488842633
1997-04-10,9.83,0.030271398747390377,0.0010141987829614951
1997-04-11,9.87,0.010224948875255713,0.0010131712259373593
1997-04-14,9.88,0.0010204081632652073,-0.007085020242915019
1997-04-15,9.81,-0.0010193679918449883,-0.0080971659919028
1997-04-16,9.8,-0.0010204081632654294,-0.009109311740890802
1997-04-17,9.79,-0.004085801838610736,-0.013157894736842146
1997-04-18,9.75,0.0,-0.013157894736842146
1997-04-21,9.75,-0.002051282051282022,-0.015182186234817818
1997-04-22,9.73,0.0010277492291881352,-0.014170040485830038
1997-04-23,9.74,0.0010277492291881352,-0.014170040485830038
1997-04-24,9.74,0.0010277492291881352,-0.014170040485830038
1997-04-25,9.74,0.0020554984583760483,-0.013157894736842146
1997-04-28,9.75,-0.00411099691675243,-0.012232415902140747
1997-04-29,9.69,-0.0020639834881320818,-0.013265306122449028
1997-04-30,9.67,-0.006204756980351611,-0.018386108273748647
1997-05-01,9.61,-0.003121748178980144,-0.017435897435897463
1997-05-02,9.58,-0.0031315240083507057,-0.02051282051282044
1997-05-05,9.55,-0.0020942408376964927,-0.022564102564102684
1997-05-06,9.53,0.0020986358866736943,-0.02051282051282044
1997-05-07,9.55,0.0,-0.022564102564102684
1997-05-08,9.53,-0.005246589716684014,-0.027692307692307683
1997-05-09,9.48,-0.001054852320675037,-0.028717948717948638
1997-05-12,9.47,-0.0031678986272440923,-0.02579979360165119
1997-05-13,9.44,-0.0031779661016948513,-0.026887280248190204
1997-05-14,9.41,-0.0031880977683315104,-0.023933402705514917
1997-05-15,9.38,-0.0010660980810236476,-0.02192066805845516
1997-05-16,9.37,0.0,-0.018848167539267213
