,0
0,0.48999786376953125
1,0.986661148071289
2,1.4806336784362792
3,1.9205683641433715
4,2.3567798598766325
5,2.763542993957996
6,3.170325484763026
7,3.549392752394992
8,3.890199329374852
9,4.238551682852398
10,4.5427633199011845
11,4.827508698828
12,5.108673547089724
13,5.396469926497933
14,5.647817237057803
15,5.876281859213702
16,6.105931206194422
17,6.327434038584896
18,6.536292362900769
19,6.744969306645379
20,6.913460816288696
21,7.088911280112933
22,7.257871935589708
23,7.42202606830241
24,7.573931967035726
25,7.725760576203472
26,7.8479560526423215
27,7.965817496836377
28,8.072692103561941
29,8.178970752168023
30,8.275804532674858
31,8.389496911021585
32,8.49558740360527
33,8.585504154640827
34,8.676376270517185
35,8.76453392793859
36,8.860633021946935
37,8.929809927978495
38,9.002586323059061
39,9.033082159493999
40,9.07769804053297
41,9.128161130449682
42,9.173470450636183
43,9.211282447513552
44,9.236558550357602
45,9.264368379187378
46,9.30476400441746
47,9.333880433713189
48,9.367710169962098
49,9.425533920497196
50,9.450329230697921
51,9.48733043884076
52,9.519043399930947
53,9.552908353347487
54,9.588596065562925
55,9.614190600053334
56,9.637145849713752
57,9.67303681772611
58,9.693833295321252
59,9.721936125184095
60,9.735742807084069
61,9.75543493003553
62,9.778011694275943
63,9.779678126163708
64,9.790308553961967
65,9.793450596966995
66,9.805890646464348
67,9.816621886235858
68,9.836950688774651
69,9.853166661415997
70,9.867155056860822
71,9.874579316957234
72,9.899361169590819
73,9.89589358413374
74,9.89232891591338
75,9.901174689355992
76,9.89471268035206
77,9.887351542794416
78,9.892729143877352
79,9.897972142249891
80,9.905903277569037
81,9.890299046918123
82,9.88728113436714
83,9.880078714001321
84,9.863749262554185
85,9.854337510486046
86,9.840984267163892
87,9.829871485690463
88,9.82635741885223
89,9.81565134905708
90,9.825936133899146
91,9.817477767145595
92,9.819265545658434
93,9.839581565250512
94,9.834859490772166
95,9.82860998547184
96,9.819673077506842
97,9.816872635911773
98,9.822282589931614
99,9.818261813706517
100,9.814663710203808
101,9.819068311558853
102,9.821182065170364
103,9.802675833615947
104,9.806879886783783
105,9.786930789905531
106,9.786245444257911
107,9.771545598802827
108,9.755016887588273
109,9.740839727901243
110,9.734981747243484
111,9.72441674191256
112,9.74200907620365
113,9.728737510332921
114,9.722825842335807
115,9.710513438158468
116,9.71216771314996
117,9.705974076637968
118,9.702175616946695
119,9.697284960489009
120,9.698224316590535
121,9.68155116838796
122,9.675782859846493
123,9.658474734920574
124,9.64912468286693
125,9.630136618889598
126,9.615021923565234
127,9.588915984247324
128,9.571228226416794
129,9.559752844148688
130,9.550563648596526
131,9.553757512065136
132,9.535688395617154
133,9.53651475464489
134,9.52826544818706
135,9.529641100948606
136,9.521506595339652
137,9.518905768136147
138,9.519060638420745
139,9.508513642876661
140,9.488570062173258
141,9.491472339093892
142,9.478618616548378
143,9.479229922049083
144,9.471243233685886
145,9.465443828349247
146,9.448676840178855
147,9.444915178345694
148,9.42025128283173
149,9.405077112855183
150,9.389619857554221
151,9.388523035208737
152,9.38189328542584
153,9.375050665832282
154,9.362423391940082
155,9.343720099540343
156,9.343789496174654
157,9.339181655887405
158,9.33346791916237
159,9.32874978443472
160,9.317099740281344
161,9.31911889877509
162,9.308070561868561
163,9.305495479209704
164,9.301878420092969
165,9.309109251895936
166,9.300639262933952
167,9.300012359601707
168,9.280537864668498
169,9.287524612792494
170,9.27448085590775
171,9.274604927126035
172,9.258314255965045
173,9.234311125564254
174,9.213796207103425
175,9.20066003139181
176,9.189736298010695
177,9.180102235795706
178,9.164868867780335
179,9.155693875319052
180,9.147735612827514
181,9.140812317903912
182,9.137653537946216
183,9.13797682418367
184,9.125334574771362
185,9.101662145349199
186,9.092380200801465
187,9.085602835048501
188,9.070300507016778
189,9.054177525733323
190,9.036216726839234
191,9.019034949335163
192,8.999013911707271
193,8.987862120540854
194,8.979361043322404
195,8.96682373151273
196,8.957993653335532
197,8.956616874111138
198,8.939875050180971
199,8.925535487735399
200,8.904756531341793
201,8.902344785096968
202,8.87936995612044
203,8.875279922059535
204,8.856868403983903
